billing_id,shipping_line,billing_period,stevedoring_fee,storage_fee,reefer_fee,dg_handling_fee,rehandling_fee,total_amount,payment_status,payment_due_date,dispute_flag,dispute_reason,teu_volume
INV-2603-001,HMM,2026-03 상반기,165897,8612,10325,2906,222,187962,입금완료,2026-04-10,N,없음,13871
INV-2603-002,HMM,2026-03 하반기,157740,6893,11508,2314,280,178735,입금완료,2026-04-25,N,없음,13189
INV-2603-003,MSC,2026-03 상반기,58067,2602,4510,774,97,66050,입금완료,2026-04-10,N,없음,4963
INV-2603-004,MSC,2026-03 하반기,56277,3971,5160,981,82,66471,입금완료,2026-04-25,N,없음,4810
INV-2603-005,Evergreen,2026-03 상반기,45474,2792,4724,801,98,53889,부분입금,2026-04-10,Y,장치료 기간 이의,3975
INV-2603-006,Evergreen,2026-03 하반기,49008,1931,5950,822,76,57787,입금완료,2026-04-25,N,없음,4284
INV-2603-007,ONE,2026-03 상반기,41939,1834,3492,723,92,48080,미입금,2026-04-10,N,없음,3666
INV-2603-008,ONE,2026-03 하반기,44902,2741,5028,719,76,53466,입금완료,2026-04-25,N,없음,3925
INV-2603-009,MSK,2026-03 상반기,36714,1384,2628,757,77,41560,미입금,2026-04-10,N,없음,3138
INV-2603-010,MSK,2026-03 하반기,36550,1964,2603,707,84,41908,미입금,2026-04-25,Y,물량 불일치,3124
INV-2603-011,CMA CGM,2026-03 상반기,37637,1739,3014,495,49,42934,입금완료,2026-04-10,N,없음,3290
INV-2603-012,CMA CGM,2026-03 하반기,36470,2022,3285,677,90,42544,입금완료,2026-04-25,N,없음,3188
INV-2603-013,Yang Ming,2026-03 상반기,26374,920,2206,555,59,30114,입금완료,2026-04-10,N,없음,2332
INV-2603-014,Yang Ming,2026-03 하반기,28003,1666,1788,578,70,32105,미입금,2026-04-25,Y,물량 불일치,2476
INV-2603-015,ZIM,2026-03 상반기,16166,923,1954,231,41,19315,입금완료,2026-04-10,N,없음,1446
INV-2603-016,ZIM,2026-03 하반기,18581,708,1812,405,48,21554,입금완료,2026-04-25,N,없음,1662
INV-2603-017,PIL,2026-03 상반기,14574,907,985,312,22,16800,입금완료,2026-04-10,N,없음,1319
INV-2603-018,PIL,2026-03 하반기,14077,908,1260,245,31,16521,입금완료,2026-04-25,N,없음,1274
INV-2603-019,Wan Hai,2026-03 상반기,9580,672,1027,141,16,11436,입금완료,2026-04-10,N,없음,867
INV-2603-020,Wan Hai,2026-03 하반기,8607,533,1095,183,13,10431,부분입금,2026-04-25,Y,냉동료 산정 이의,779
INV-2603-021,SM Line,2026-03 상반기,8099,486,790,146,18,9539,입금완료,2026-04-10,N,없음,733
INV-2603-022,SM Line,2026-03 하반기,8574,550,956,140,15,10235,미입금,2026-04-25,N,없음,776
