sku,item_name,category,spec,unit,unit_price_krw,vendor,coverage_per_m2,last_price_checked,days_since_price_check,needs_recheck,env_tag,season_tag
TR-001,소나무(반송)_특수목,교목,H2.5×W1.8,주,2400000,헌인릉농장,0.05,2026-04-05,11,N,실외_양지,사계절
TR-002,소나무(반송)_중형,교목,H2.0×W1.5,주,850000,헌인릉농장,0.08,2026-04-05,11,N,실외_양지,사계절
TR-003,적송_정원수,교목,H3.0×R15,주,1650000,헌인릉농장,0.05,2026-04-05,11,N,실외_양지,사계절
TR-004,단풍나무_청단풍,교목,H2.5×R8,주,320000,헌인릉농장,0.1,2026-03-28,19,N,실외_반음지,봄~가을
TR-005,단풍나무_홍단풍,교목,H2.5×R8,주,420000,헌인릉농장,0.1,2026-03-28,19,N,실외_양지,봄~가을
TR-006,배롱나무,교목,H2.0×R6,주,280000,헌인릉농장,0.12,2026-04-01,15,N,실외_양지,여름
TR-007,이팝나무,교목,H3.0×R10,주,380000,일반조경유통,0.08,2026-03-10,37,Y,실외_양지,봄
TR-008,느티나무,교목,H3.5×R12,주,520000,일반조경유통,0.06,2026-03-05,42,Y,실외_양지,사계절
TR-009,왕벚나무,교목,H3.0×R10,주,280000,일반조경유통,0.08,2026-03-08,39,Y,실외_양지,봄
TR-010,자작나무_중목,교목,H3.0×R6,주,240000,일반조경유통,0.12,2026-04-02,14,N,실외_양지,사계절
TR-011,감나무_대봉,교목,H2.5×R8,주,180000,일반조경유통,0.1,2026-03-10,37,Y,실외_양지,가을
SH-001,회양목_둥근형,관목,H0.3×W0.3,주,8500,헌인릉농장,4.0,2026-04-10,6,N,실외_반음지,사계절
SH-002,남천,관목,H0.8×W0.5,주,12000,헌인릉농장,2.5,2026-04-10,6,N,실외_반음지,사계절
SH-003,수국_목수국,관목,H0.6×W0.4,주,18000,헌인릉농장,2.0,2026-04-08,8,N,실외_반음지,여름
SH-004,진달래_연분홍,관목,H0.5×W0.4,주,7500,헌인릉농장,3.0,2026-03-30,17,N,실외_양지,봄
SH-005,철쭉_영산홍,관목,H0.4×W0.4,주,6200,헌인릉농장,4.0,2026-03-30,17,N,실외_양지,봄
SH-006,사철나무,관목,H1.0×W0.5,주,15000,일반조경유통,2.0,2026-04-05,11,N,실외_반음지,사계절
SH-007,조팝나무,관목,H0.8×W0.6,주,13000,일반조경유통,2.0,2026-03-12,35,Y,실외_양지,봄
SH-008,명자나무,관목,H0.6×W0.4,주,14500,일반조경유통,2.5,2026-03-12,35,Y,실외_양지,봄
PE-001,맥문동,초화류,3치포트,본,1800,헌인릉농장,16.0,2026-04-12,4,N,실외_반음지,사계절
PE-002,이끼류_스카게_고사,초화류,모판,㎡,45000,전문원예,1.0,2026-04-01,15,N,실외_음지,봄~가을
PE-003,수호초,초화류,3치포트,본,2200,헌인릉농장,25.0,2026-04-12,4,N,실외_반음지,사계절
PE-004,라벤더_프로방스,초화류,4치포트,본,4500,전문원예,9.0,2026-04-08,8,N,실외_양지,여름
PE-005,에키네시아,초화류,4치포트,본,3800,전문원예,6.0,2026-04-08,8,N,실외_양지,여름
PE-006,루드베키아,초화류,3치포트,본,2800,일반원예,9.0,2026-03-14,33,Y,실외_양지,여름
PE-007,살비아_네모로사,초화류,3치포트,본,3200,일반원예,9.0,2026-03-14,33,Y,실외_양지,여름
PE-008,억새_핑크뮬리,초화류,1말분,주,8500,전문원예,2.0,2026-04-02,14,N,실외_양지,가을
PE-009,수크령_퍼플팜파스,초화류,1말분,주,12000,전문원예,1.5,2026-04-02,14,N,실외_양지,가을
PE-010,호스타_블루,초화류,5치포트,본,6500,전문원예,3.0,2026-04-06,10,N,실외_음지,여름
IN-001,몬스테라_델리시오사,실내,9호분,분,120000,오피스플랜츠,,2026-04-10,6,N,실내_반음지,사계절
IN-002,알로카시아_폴리,실내,8호분,분,85000,오피스플랜츠,,2026-04-10,6,N,실내_반음지,사계절
IN-003,유칼립투스_폴리안,실내,7호분,분,45000,오피스플랜츠,,2026-04-10,6,N,실내_양지,사계절
MA-001,화강석_판석_마천석_30T,자재,600x300x30,㎡,95000,석재유통,,2026-03-20,27,N,-,-
MA-002,마사토_중립,자재,1루베,루베,52000,골재유통,,2026-03-20,27,N,-,-
MA-003,부엽토_유기질토,자재,1루베,루베,68000,골재유통,,2026-03-20,27,N,-,-
MA-004,목재데크_방부목_30T,자재,3000x120x30,㎡,135000,목재유통,,2026-03-25,22,N,-,-
MA-005,자연석_강돌_중형,자재,H200~400,톤,180000,석재유통,,2026-03-25,22,N,-,-
MA-006,우드칩_멀칭용,자재,20kg,포,18000,골재유통,,2026-04-01,15,N,-,-
MA-007,조경용_배수판,자재,500x500x30,㎡,22000,자재유통,,2026-03-28,19,N,-,-
MA-008,투수블록_점토계,자재,100x200x60,㎡,48000,자재유통,,2026-03-28,19,N,-,-
