주문ID,주문일,채널,상품ID,상품명,시리즈,카테고리,수량,단가,할인액,판매가,주문금액,수수료율,수수료,원가합계,영업이익,주문상태,유입경로
ORD-2602-0001,2026-02-01,29CM,PRD-010,마우스패드 - 클라우드,MNNS,데스크소품,1,15000,0,15000,15000,0.2,3000,4800,7200,완료,29CM
ORD-2602-0002,2026-02-01,자사몰,PRD-015,폰케이스 - 패턴,MNNS,폰케이스,1,24000,1200,22800,22800,0.035,798,8000,14002,완료,블로그검색
ORD-2601-0003,2026-01-28,자사몰,PRD-011,마우스패드 - 그리드,MNNS,데스크소품,2,15000,0,15000,30000,0.035,1050,9600,19350,완료,인스타그램
ORD-2601-0004,2026-01-28,네이버,PRD-009,레터 키링 - A~Z,MNNS,키링,2,8000,0,8000,16000,0.12,1920,4800,9280,완료,네이버검색
ORD-2602-0005,2026-02-27,카카오선물하기,PRD-009,레터 키링 - A~Z,MNNS,키링,1,8000,0,8000,8000,0.3,2400,2400,3200,완료,카카오선물하기
ORD-2601-0006,2026-01-03,텐바이텐,PRD-006,티슈커버 - 화이트,Happier Label,리빙소품,1,15000,0,15000,15000,0.18,2700,5200,7100,완료,텐바이텐
ORD-2601-0007,2026-01-22,자사몰,PRD-005,에코백 - 올리브,Happier Label,가방,1,25000,0,25000,25000,0.035,875,8500,15625,완료,기타
ORD-2602-0008,2026-02-18,자사몰,PRD-021,스티커 세트 - 시즌,PART PART,스티커,2,5000,0,5000,10000,0.035,350,2400,7250,완료,인스타그램
ORD-2601-0009,2026-01-19,텐바이텐,PRD-018,위클리 플래너,PART PART,플래너,1,14000,0,14000,14000,0.18,2520,4500,6980,완료,텐바이텐
ORD-2601-0010,2026-01-05,자사몰,PRD-017,데일리 노트 B5,PART PART,노트,2,11000,0,11000,22000,0.035,770,6600,14630,완료,인스타그램
ORD-2602-0011,2026-02-25,자사몰,PRD-008,레터링 머그컵,Happier Label,리빙소품,1,16000,0,16000,16000,0.035,560,5600,9840,완료,직접유입
ORD-2603-0012,2026-03-01,카카오선물하기,PRD-002,미니 파우치 - 라벤더,Happier Label,파우치,2,12000,0,12000,24000,0.3,7200,8400,8400,완료,카카오선물하기
ORD-2601-0013,2026-01-14,자사몰,PRD-001,미니 파우치 - 레몬,Happier Label,파우치,4,12000,0,12000,48000,0.035,1680,16800,29520,완료,기타
ORD-2603-0014,2026-03-10,텐바이텐,PRD-024,2026 다이어리 - 크림,오롤리데이,다이어리,1,22000,0,22000,22000,0.18,3960,7500,10540,완료,텐바이텐
ORD-2603-0015,2026-03-17,핫트랙스,PRD-020,스티커 세트 - 데일리,PART PART,스티커,1,5000,0,5000,5000,0.25,1250,1200,2550,완료,핫트랙스
ORD-2603-0016,2026-03-08,자사몰,PRD-006,티슈커버 - 화이트,Happier Label,리빙소품,1,15000,0,15000,15000,0.035,525,5200,9275,완료,인스타그램
ORD-2602-0017,2026-02-09,카카오선물하기,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,4,14000,0,14000,56000,0.3,16800,16800,22400,완료,카카오선물하기
ORD-2602-0018,2026-02-13,쇼피파이,PRD-014,폰케이스 - 클리어,MNNS,폰케이스,1,22000,0,22000,22000,0.05,1100,7200,13700,완료,쇼피파이
ORD-2601-0019,2026-01-19,카카오선물하기,PRD-006,티슈커버 - 화이트,Happier Label,리빙소품,1,15000,0,15000,15000,0.3,4500,5200,5300,완료,카카오선물하기
ORD-2601-0020,2026-01-11,자사몰,PRD-016,데일리 노트 A5,PART PART,노트,1,9000,0,9000,9000,0.035,315,2700,5985,완료,직접유입
ORD-2601-0021,2026-01-16,텐바이텐,PRD-010,마우스패드 - 클라우드,MNNS,데스크소품,1,15000,0,15000,15000,0.18,2700,4800,7500,완료,텐바이텐
ORD-2603-0022,2026-03-02,카카오선물하기,PRD-002,미니 파우치 - 라벤더,Happier Label,파우치,1,12000,0,12000,12000,0.3,3600,4200,4200,완료,카카오선물하기
ORD-2601-0023,2026-01-18,네이버,PRD-014,폰케이스 - 클리어,MNNS,폰케이스,1,22000,0,22000,22000,0.12,2640,7200,12160,완료,추천
ORD-2603-0024,2026-03-04,자사몰,PRD-001,미니 파우치 - 레몬,Happier Label,파우치,4,12000,0,12000,48000,0.035,1680,16800,29520,완료,인스타그램
