order_line_id,project_id,sku,item_name,category,unit,list_price_krw,discount_pct,negotiated_unit_price_krw,quantity,line_total_krw,order_status,order_date,delivery_date,vendor
ORD-0001,SGC-2601-001,TR-001,소나무(반송)_특수목,교목,주,2400000,0,2400000,3,7200000,납품완료,2026-02-22,2026-02-27,헌인릉농장
ORD-0002,SGC-2601-001,TR-003,적송_정원수,교목,주,1650000,0,1650000,2,3300000,납품완료,2026-03-02,2026-03-17,헌인릉농장
ORD-0003,SGC-2601-001,TR-004,단풍나무_청단풍,교목,주,320000,3,310400,5,1552000,납품완료,2026-02-11,2026-03-03,헌인릉농장
ORD-0004,SGC-2601-001,SH-002,남천,관목,주,12000,8,11040,60,662400,납품완료,2026-02-23,2026-03-06,헌인릉농장
ORD-0005,SGC-2601-001,SH-003,수국_목수국,관목,주,18000,3,17460,35,611100,납품완료,2026-03-01,2026-03-01,헌인릉농장
ORD-0006,SGC-2601-001,PE-001,맥문동,초화류,본,1800,3,1746,280,488880,납품완료,2026-02-21,2026-03-08,헌인릉농장
ORD-0007,SGC-2601-001,PE-002,이끼류_스카게_고사,초화류,㎡,45000,3,43650,22,960300,납품완료,2026-02-10,2026-03-18,전문원예
ORD-0008,SGC-2601-001,PE-004,라벤더_프로방스,초화류,본,4500,0,4500,90,405000,납품완료,2026-03-02,2026-03-11,전문원예
ORD-0009,SGC-2601-001,MA-001,화강석_판석_마천석_30T,자재,㎡,95000,0,95000,35,3325000,납품완료,2026-02-13,2026-02-21,석재유통
ORD-0010,SGC-2601-001,MA-002,마사토_중립,자재,루베,52000,8,47840,8,382720,납품완료,2026-02-20,2026-03-19,골재유통
ORD-0011,SGC-2601-001,MA-003,부엽토_유기질토,자재,루베,68000,0,68000,5,340000,납품완료,2026-02-22,2026-03-21,골재유통
ORD-0012,SGC-2601-001,MA-005,자연석_강돌_중형,자재,톤,180000,0,180000,3.5,630000,납품완료,2026-02-27,2026-03-19,석재유통
ORD-0013,SGC-2602-002,TR-004,단풍나무_청단풍,교목,주,320000,5,304000,3,912000,발주완료_입고_대기,2026-03-28,,헌인릉농장
ORD-0014,SGC-2602-002,TR-006,배롱나무,교목,주,280000,0,280000,4,1120000,발주완료_입고_대기,2026-03-27,,헌인릉농장
ORD-0015,SGC-2602-002,TR-010,자작나무_중목,교목,주,240000,0,240000,3,720000,발주완료_입고_대기,2026-04-02,,일반조경유통
ORD-0016,SGC-2602-002,SH-001,회양목_둥근형,관목,주,8500,3,8245,45,371025,발주완료_입고_대기,2026-04-10,,헌인릉농장
ORD-0017,SGC-2602-002,SH-003,수국_목수국,관목,주,18000,0,18000,20,360000,발주완료_입고_대기,2026-04-07,,헌인릉농장
ORD-0018,SGC-2602-002,PE-001,맥문동,초화류,본,1800,0,1800,150,270000,발주완료_입고_대기,2026-04-01,,헌인릉농장
ORD-0019,SGC-2602-002,PE-010,호스타_블루,초화류,본,6500,3,6305,35,220675,발주완료_입고_대기,2026-04-05,,전문원예
ORD-0020,SGC-2602-002,PE-008,억새_핑크뮬리,초화류,주,8500,0,8500,28,238000,발주완료_입고_대기,2026-04-07,,전문원예
ORD-0021,SGC-2602-002,MA-004,목재데크_방부목_30T,자재,㎡,135000,0,135000,40,5400000,발주완료_입고_대기,2026-04-06,,목재유통
ORD-0022,SGC-2602-002,MA-002,마사토_중립,자재,루베,52000,5,49400,3,148200,발주완료_입고_대기,2026-04-05,,골재유통
