SKU,카테고리,메뉴명,원가,매장가,배민가,쿠팡이츠가,배달가능,주력메뉴,배민_앱수수료율,배민_PG수수료율,배민_광고수수료율,배민_사장배달비,쿠팡이츠_앱수수료율,쿠팡이츠_PG수수료율,쿠팡이츠_사장배달비
M001,코스,청기와 한정식 (1인),16500,39000,39000,39000,Y,Y,0.068,0.027,0.05,3500,0.098,0.027,3500
M002,코스,청기와 프리미엄 한정식 (1인),24000,59000,,,N,Y,0.068,0.027,0.05,3500,0.098,0.027,3500
M003,코스,"런치 한상 (1인, 평일점심)",9800,19000,19000,19000,Y,Y,0.068,0.027,0.05,3500,0.098,0.027,3500
S001,식사,갈비탕,7800,19000,20000,20000,Y,Y,0.068,0.027,0.05,3500,0.098,0.027,3500
S002,식사,한우육개장,8200,21000,22000,22000,Y,Y,0.068,0.027,0.05,3500,0.098,0.027,3500
S003,식사,묵은지등갈비찜 (소),12500,38000,39000,39000,Y,Y,0.068,0.027,0.05,3500,0.098,0.027,3500
S004,식사,묵은지등갈비찜 (대),21000,58000,59000,59000,Y,N,0.068,0.027,0.05,3500,0.098,0.027,3500
S005,식사,간장게장 정식,14000,32000,33000,33000,Y,Y,0.068,0.027,0.05,3500,0.098,0.027,3500
S006,식사,양념게장 정식,13500,31000,32000,32000,Y,N,0.068,0.027,0.05,3500,0.098,0.027,3500
S007,식사,보쌈 (소),11000,32000,33000,33000,Y,Y,0.068,0.027,0.05,3500,0.098,0.027,3500
S008,식사,보쌈 (대),19500,52000,53000,53000,Y,N,0.068,0.027,0.05,3500,0.098,0.027,3500
S009,식사,한우 육회비빔밥,10500,22000,23000,23000,Y,Y,0.068,0.027,0.05,3500,0.098,0.027,3500
S010,식사,들기름 막국수,4200,13000,13500,13500,Y,Y,0.068,0.027,0.05,3500,0.098,0.027,3500
S011,식사,메밀전병,3800,14000,14500,14500,Y,N,0.068,0.027,0.05,3500,0.098,0.027,3500
S012,식사,전복죽,6800,18000,18500,18500,Y,N,0.068,0.027,0.05,3500,0.098,0.027,3500
D001,사이드,한치회무침,7800,22000,22500,22500,Y,N,0.068,0.027,0.05,3500,0.098,0.027,3500
D002,사이드,수육 (소),8500,26000,26500,26500,Y,N,0.068,0.027,0.05,3500,0.098,0.027,3500
D003,사이드,감자전,3200,14000,14500,14500,Y,Y,0.068,0.027,0.05,3500,0.098,0.027,3500
D004,사이드,해물파전,4500,17000,17500,17500,Y,Y,0.068,0.027,0.05,3500,0.098,0.027,3500
D005,사이드,한우 떡갈비 (2장),9800,24000,24500,24500,Y,N,0.068,0.027,0.05,3500,0.098,0.027,3500
D006,사이드,계란말이,2400,9000,9500,9500,Y,N,0.068,0.027,0.05,3500,0.098,0.027,3500
D007,사이드,도토리묵,2800,11000,11500,11500,Y,N,0.068,0.027,0.05,3500,0.098,0.027,3500
A001,주류,참이슬 후레쉬,1200,5000,,,N,Y,0.068,0.027,0.05,3500,0.098,0.027,3500
A002,주류,처음처럼,1200,5000,,,N,N,0.068,0.027,0.05,3500,0.098,0.027,3500
A003,주류,테라,1500,6000,,,N,Y,0.068,0.027,0.05,3500,0.098,0.027,3500
A004,주류,카스,1500,6000,,,N,N,0.068,0.027,0.05,3500,0.098,0.027,3500
A005,주류,한라산,4500,14000,,,N,N,0.068,0.027,0.05,3500,0.098,0.027,3500
A006,주류,복분자주 (병),6800,22000,,,N,N,0.068,0.027,0.05,3500,0.098,0.027,3500
A007,주류,막걸리 (병),1800,8000,8500,8500,Y,N,0.068,0.027,0.05,3500,0.098,0.027,3500
A008,주류,전통주 페어링 코스,18000,49000,,,N,N,0.068,0.027,0.05,3500,0.098,0.027,3500
B001,음료,사이다,900,4000,4500,4500,Y,N,0.068,0.027,0.05,3500,0.098,0.027,3500
B002,음료,콜라,900,4000,4500,4500,Y,N,0.068,0.027,0.05,3500,0.098,0.027,3500
B003,음료,수정과,1200,5000,5500,5500,Y,N,0.068,0.027,0.05,3500,0.098,0.027,3500
B004,음료,식혜,1200,5000,5500,5500,Y,N,0.068,0.027,0.05,3500,0.098,0.027,3500
B005,음료,오미자차,1500,6000,6500,6500,Y,N,0.068,0.027,0.05,3500,0.098,0.027,3500
E001,디저트,흑임자 아이스크림,1800,7000,7500,7500,Y,N,0.068,0.027,0.05,3500,0.098,0.027,3500
E002,디저트,약과 3종,1500,6000,6500,6500,Y,N,0.068,0.027,0.05,3500,0.098,0.027,3500
E003,디저트,쌍화차,1800,7000,7500,7500,Y,N,0.068,0.027,0.05,3500,0.098,0.027,3500
E004,디저트,수제 한과 모듬,2400,9000,9500,9500,Y,N,0.068,0.027,0.05,3500,0.098,0.027,3500
