상품ID,시리즈,상품명,카테고리,판매가,원가,판매채널
PRD-001,Happier Label,미니 파우치 - 레몬,파우치,12000,4200,"자사몰,네이버,29CM,카카오선물하기,텐바이텐"
PRD-002,Happier Label,미니 파우치 - 라벤더,파우치,12000,4200,"자사몰,네이버,29CM,카카오선물하기,텐바이텐"
PRD-003,Happier Label,스퀘어 파우치 - 크림,파우치,18000,6300,"자사몰,네이버,29CM,카카오선물하기"
PRD-004,Happier Label,에코백 - 내추럴,가방,25000,8500,"자사몰,네이버,29CM,텐바이텐"
PRD-005,Happier Label,에코백 - 올리브,가방,25000,8500,"자사몰,네이버,29CM"
PRD-006,Happier Label,티슈커버 - 화이트,리빙소품,15000,5200,"자사몰,네이버,카카오선물하기,텐바이텐"
PRD-007,Happier Label,접이식 우산,우산,28000,11000,"자사몰,네이버,29CM"
PRD-008,Happier Label,레터링 머그컵,리빙소품,16000,5600,"자사몰,네이버,카카오선물하기,텐바이텐"
PRD-009,MNNS,레터 키링 - A~Z,키링,8000,2400,"자사몰,네이버,29CM,카카오선물하기,텐바이텐,핫트랙스"
PRD-010,MNNS,마우스패드 - 클라우드,데스크소품,15000,4800,"자사몰,네이버,29CM,텐바이텐,핫트랙스"
PRD-011,MNNS,마우스패드 - 그리드,데스크소품,15000,4800,"자사몰,네이버,29CM,텐바이텐"
PRD-012,MNNS,보조배터리 5000mAh,전자소품,32000,14500,"자사몰,네이버,29CM"
PRD-013,MNNS,보조배터리 10000mAh,전자소품,42000,19000,"자사몰,네이버"
PRD-014,MNNS,폰케이스 - 클리어,폰케이스,22000,7200,"자사몰,네이버,29CM,쇼피파이"
PRD-015,MNNS,폰케이스 - 패턴,폰케이스,24000,8000,"자사몰,네이버,29CM"
PRD-016,PART PART,데일리 노트 A5,노트,9000,2700,"자사몰,네이버,29CM,텐바이텐,핫트랙스"
PRD-017,PART PART,데일리 노트 B5,노트,11000,3300,"자사몰,네이버,29CM,텐바이텐,핫트랙스"
PRD-018,PART PART,위클리 플래너,플래너,14000,4500,"자사몰,네이버,29CM,텐바이텐,핫트랙스"
PRD-019,PART PART,먼슬리 플래너,플래너,16000,5200,"자사몰,네이버,29CM,텐바이텐"
PRD-020,PART PART,스티커 세트 - 데일리,스티커,5000,1200,"자사몰,네이버,텐바이텐,핫트랙스"
PRD-021,PART PART,스티커 세트 - 시즌,스티커,5000,1200,"자사몰,네이버,텐바이텐"
PRD-022,오롤리데이,2026 벽걸이 캘린더,캘린더,18000,5800,"자사몰,네이버,29CM,텐바이텐,핫트랙스"
PRD-023,오롤리데이,2026 탁상 캘린더,캘린더,14000,4200,"자사몰,네이버,29CM,카카오선물하기,텐바이텐,핫트랙스"
PRD-024,오롤리데이,2026 다이어리 - 크림,다이어리,22000,7500,"자사몰,네이버,29CM,텐바이텐"
PRD-025,오롤리데이,2026 다이어리 - 세이지,다이어리,22000,7500,"자사몰,네이버,29CM"
PRD-026,오롤리데이,코튼 러그 - S,러그,38000,15000,"자사몰,네이버,29CM"
PRD-027,오롤리데이,코튼 러그 - M,러그,52000,21000,"자사몰,네이버"
PRD-028,오롤리데이,실내화 - 크림,슬리퍼,19000,7200,"자사몰,네이버,29CM"
PRD-029,오롤리데이,실내화 - 그레이,슬리퍼,19000,7200,"자사몰,네이버"
PRD-030,콜라보,x 제주맥주 코스터 세트,콜라보,12000,4800,"자사몰,네이버"
PRD-031,콜라보,x 이니스프리 파우치,콜라보,0,0,카카오선물하기
PRD-032,오롤리데이,기프트박스 A (파우치+키링),기프트세트,18000,6000,"자사몰,카카오선물하기"
PRD-033,오롤리데이,기프트박스 B (노트+스티커+펜),기프트세트,22000,7200,"자사몰,카카오선물하기"
PRD-034,오롤리데이,선물 포장 서비스,서비스,3000,800,자사몰
PRD-035,해피어마트,해피어마트 한정 에코백,가방,29000,10500,자사몰
