날짜,채널,콘텐츠유형,제목,도시,주제카테고리,발송수,오픈수,오픈율,도달수,좋아요,댓글,저장,공유,링크클릭,프로필방문,트립문의건수
2026-01-04,뉴스레터,에디션,나카메구로의 조용한 세대교체,도쿄,브랜드,10990,4436,40.4,,,,,26,227,,7
2026-01-04,인스타그램,카드뉴스,상하이 리테일 트렌드,상하이,트렌드,,,,2644,87,31,31,25,25,29,3
2026-01-05,뉴스레터,에디션,서울 로컬 F&B 브랜드의 도쿄 진출기,서울,F&B,11046,3740,33.9,,,,,25,168,,0
2026-01-05,뉴스레터,에디션,북촌에서 읽는 공간 브랜딩의 현재,서울,디자인,11045,3856,34.9,,,,,21,225,,2
2026-01-06,뉴스레터,에디션,상하이 차(茶) 문화의 현대적 재해석,상하이,F&B,11041,4912,44.5,,,,,18,355,,4
2026-01-06,인스타그램,카드뉴스,상하이 안푸루 거리 완전정복,상하이,리테일,,,,2491,148,27,42,16,18,69,2
2026-01-07,인스타그램,캐러셀,서울 셀렉트숍 추천,서울,디자인,,,,4879,374,26,153,41,57,87,0
2026-01-08,뉴스레터,에디션,브루클린 F&B 씬이 말하는 2026 키워드,뉴욕,F&B,11023,3450,31.3,,,,,43,203,,0
2026-01-09,인스타그램,릴스,긴자 쇼핑 루트 가이드,도쿄,브랜드,,,,14982,1195,58,245,134,206,429,3
2026-01-10,뉴스레터,에디션,나이키 x 런던: 로컬 콜라보의 교과서,런던,브랜드,11039,3835,34.7,,,,,22,302,,2
2026-01-10,인스타그램,캐러셀,상하이 팝업 현장 스케치,상하이,F&B,,,,5910,358,87,175,30,47,155,2
2026-01-12,뉴스레터,에디션,K-뷰티 이후 K-웰니스가 온다,서울,트렌드,11081,3825,34.5,,,,,21,204,,3
2026-01-12,뉴스레터,에디션,K-뷰티의 상하이 2026 - 올리브영 이후,상하이,브랜드,11066,4870,44.0,,,,,39,271,,3
2026-01-13,뉴스레터,에디션,성수동 팝업의 진짜 수익 구조,서울,리테일,11094,4120,37.1,,,,,16,194,,0
2026-01-13,뉴스레터,에디션,신천지에서 읽는 중국 프리미엄 소비,상하이,트렌드,11071,4573,41.3,,,,,35,353,,6
2026-01-14,뉴스레터,에디션,뉴욕 브랜드가 도쿄를 바라보는 시선,뉴욕,브랜드,11066,3640,32.9,,,,,16,327,,1
2026-01-15,인스타그램,카드뉴스,런던 스페셜티 커피,런던,공간,,,,2113,121,13,59,33,23,29,0
2026-01-16,인스타그램,캐러셀,상하이 안푸루 거리 완전정복,상하이,브랜드,,,,6627,213,46,92,130,62,87,2
2026-01-16,인스타그램,단일이미지,상하이 차 카페 추천,상하이,브랜드,,,,2765,103,9,58,36,14,51,1
2026-01-16,인스타그램,카드뉴스,쇼디치 브랜드 스냅,런던,공간,,,,2797,98,34,102,31,18,62,2
2026-01-19,인스타그램,카드뉴스,브루클린 카페 투어,뉴욕,F&B,,,,5135,239,72,174,92,39,134,1
