billing_id,detected_date,issue_type,account_type,country,amount_usd,crm_owner,contractor_id_link,status,priority,awaiting_owner_response,resolved_date,resolution_days,finance_reviewed,draft_time_minutes,draft_revisions_count,days_open
BILL-2601-0001,2026-01-20,Duplicate invoice,Contractor,TW,7829,Wei Chen,CTR-0029,Resolved,High,N,2026-02-15,26,Y,15,3,85
BILL-2601-0002,2026-01-17,Missing tax ID,B2B Enterprise,KR,44289,Priya Shah,,Resolved,High,N,2026-01-26,9,Y,20,1,88
BILL-2601-0003,2026-01-09,Missing billing contact,Contractor,US,2711,Sunjae Lee,CTR-0026,Awaiting owner,Medium,N,,,N,30,2,96
BILL-2601-0004,2026-01-10,FX rate unclear,Contractor,US,6502,Marcus Johnson,,Awaiting owner,Medium,N,,,N,25,4,95
BILL-2601-0005,2026-01-13,Currency discrepancy,B2B Enterprise,US,34803,Wei Chen,,Resolved,High,N,2026-01-23,10,Y,25,1,92
BILL-2601-0006,2026-01-26,Closed Won without contract,B2B SMB,JP,1458,Marcus Johnson,,Resolved,High,N,2026-02-05,10,Y,40,2,79
BILL-2601-0007,2026-01-25,FX rate unclear,B2B SMB,JP,4461,陳冠宇,,Resolved,Medium,N,2026-02-06,12,Y,30,3,80
BILL-2601-0008,2026-01-21,Missing invoice,B2B SMB,JP,3634,Minho Kim,,Awaiting owner,Medium,N,,,N,30,1,84
BILL-2601-0009,2026-01-01,Late payment (30+ days),B2B SMB,JP,4888,Jin Park,,Awaiting owner,Medium,N,,,N,20,1,104
BILL-2601-0010,2026-01-06,Pro-rata calculation needed,Contractor,JP,6542,Minho Kim,,Resolved,Medium,N,2026-01-19,13,Y,20,3,99
BILL-2601-0011,2026-01-07,Pro-rata calculation needed,Vendor,KR,13076,Jin Park,,Resolved,Medium,N,2026-01-16,9,Y,20,1,98
BILL-2601-0012,2026-01-04,Missing billing contact,Vendor,JP,13762,陳冠宇,,Resolved,Medium,N,2026-01-08,4,Y,30,3,101
BILL-2601-0013,2026-01-20,Missing tax ID,Internal,SG,1720,Priya Shah,,Resolved,Medium,N,2026-02-19,30,Y,40,2,85
BILL-2601-0014,2026-01-05,Missing tax ID,B2B Enterprise,KR,42792,Haruto Saito,,Resolved,High,N,2026-02-01,27,Y,25,2,100
BILL-2601-0015,2026-01-15,Missing tax ID,B2B Enterprise,SG,16455,Marcus Johnson,,Escalated,Medium,N,,,N,25,2,90
BILL-2601-0016,2026-01-11,Missing invoice,Contractor,JP,2825,Jin Park,CTR-0017,Resolved,Medium,N,2026-02-09,29,Y,20,2,94
BILL-2601-0017,2026-01-07,Rate change not reflected,B2B Enterprise,KR,32783,Sunjae Lee,,Resolved,High,N,2026-02-02,26,Y,25,2,98
BILL-2601-0018,2026-01-22,Contractor rate mismatch,B2B Enterprise,KR,42741,Jin Park,,Resolved,High,N,2026-01-27,5,Y,40,2,83
BILL-2601-0019,2026-01-16,Duplicate invoice,B2B Enterprise,SG,14800,Wei Chen,,Awaiting owner,High,N,,,N,25,1,89
BILL-2601-0020,2026-01-10,Pro-rata calculation needed,B2B SMB,HK,4486,Priya Shah,,Resolved,Medium,N,2026-02-08,29,Y,15,1,95
BILL-2601-0021,2026-01-27,Amount mismatch (CRM vs invoice),B2B Enterprise,SG,36230,Sunjae Lee,,Resolved,High,N,2026-02-12,16,Y,20,2,78
BILL-2601-0022,2026-01-14,Missing tax ID,Vendor,JP,1324,Priya Shah,,Resolved,Medium,N,2026-02-12,29,Y,20,2,91
BILL-2601-0023,2026-01-12,Pro-rata calculation needed,B2B SMB,US,2831,陳冠宇,,Resolved,Medium,N,2026-01-30,18,Y,40,2,93
BILL-2601-0024,2026-01-28,Closed Won without contract,B2B SMB,JP,1686,Sunjae Lee,,Resolved,High,N,2026-02-24,27,Y,25,2,77
BILL-2601-0025,2026-01-11,Duplicate invoice,Vendor,KR,3654,Jin Park,,Resolved,High,N,2026-01-23,12,Y,30,2,94
BILL-2601-0026,2026-01-24,Duplicate invoice,B2B Enterprise,JP,28800,Haruto Saito,,Resolved,High,N,2026-02-09,16,Y,20,3,81
BILL-2601-0027,2026-01-24,Amount mismatch (CRM vs invoice),Contractor,TW,7740,Haruto Saito,CTR-0005,Resolved,Medium,N,2026-01-31,7,Y,60,2,81
BILL-2601-0028,2026-01-04,Missing invoice,B2B Enterprise,JP,10455,Yuki Tanaka,,Resolved,Medium,N,2026-01-10,6,Y,30,3,101
