feedback_id,수집일시,출처,발화자,발화자역할,대상_컴포넌트,대상_버전,피드백_원문,긴급도,진행상태,담당자,최근_업데이트일
FB-260317-0095,2026-03-17 09:21,회의록,민정원,기획,모바일_프리뷰,v0.5,모바일 프리뷰 보다가 멈칫함. 직관적이지 않은 느낌.,중,반영_완료,이정표,2026-03-22
FB-260317-0034,2026-03-17 10:16,회의_구두,디자이너B,디자이너,온보딩_화면,v0.4,온보딩 화면 부분 조금 더 깔끔하게 가능할까요?,중,반영_완료,안용균,2026-03-26
FB-260317-0106,2026-03-17 11:09,카카오톡,외부테스터_C,외부,공용_컴포넌트_라이브러리,v0.4,공용 컴포넌트 라이브러리 보다가 멈칫함. 직관적이지 않은 느낌.,중,반영_완료,안용균,2026-03-19
FB-260317-0025,2026-03-17 15:36,카카오톡,안용균,디자이너,가이드라인_PDF_출력,v0.8,가이드라인 PDF 출력 느낌이 안 사는데 톤 재검토 필요.,하,보류,안용균,2026-03-21
FB-260317-0056,2026-03-17 16:12,카카오톡,안용균,디자이너,브랜드북_내보내기,v0.7,브랜드북 내보내기 오타 있음: '팔렛트' → '팔레트'.,중,반영_완료,안용균,2026-03-24
FB-260317-0033,2026-03-17 18:25,카카오톡,외부테스터_B,외부,컬러팔레트_에디터,v0.6,컬러팔레트 에디터 보다가 멈칫함. 직관적이지 않은 느낌.,중,보류,디자이너B,2026-03-22
FB-260318-0117,2026-03-18 14:18,회의_구두,안용균,디자이너,컬러팔레트_에디터,v0.8,컬러팔레트 에디터 툴팁 위치가 잘려서 보여요. 우측으로 이동.,중,반영_완료,디자이너B,2026-03-18
FB-260318-0069,2026-03-18 19:11,카카오톡,이가영,외부-서가클,팀원_초대,v0.6,팀원 초대 보다가 멈칫함. 직관적이지 않은 느낌.,중,보류,이정표,2026-03-25
FB-260319-0115,2026-03-19 11:49,카카오톡,이가영,외부-서가클,모바일_프리뷰,v0.8,모바일 프리뷰 보다가 멈칫함. 직관적이지 않은 느낌.,중,보류,안용균,2026-03-29
FB-260319-0079,2026-03-19 16:16,회의_구두,외부테스터_B,외부,브랜드북_내보내기,v0.4,브랜드북 내보내기 모바일에서 텍스트가 줄바꿈 이상하게 됨.,중,반영_완료,디자이너B,2026-03-26
FB-260319-0023,2026-03-19 17:43,카카오톡,민정원,기획,모바일_프리뷰,v0.5,모바일 프리뷰 헤더 폰트가 너무 커요. 22pt → 18pt로.,중,반영_완료,디자이너B,2026-03-28
FB-260319-0020,2026-03-19 21:54,카카오톡,민정원,기획,팀원_초대,v0.7,팀원 초대 부분 조금 더 깔끔하게 가능할까요?,하,반영_완료,이정표,2026-03-25
FB-260320-0110,2026-03-20 08:47,카카오톡,외부테스터_C,외부,브랜드북_내보내기,v0.8,브랜드북 내보내기 모바일에서 텍스트가 줄바꿈 이상하게 됨.,중,반영_완료,안용균,2026-03-21
FB-260320-0073,2026-03-20 09:40,회의_구두,민정원,기획,온보딩_화면,v0.8,온보딩 화면 부분 조금 더 깔끔하게 가능할까요?,상,보류,이정표,2026-03-27
FB-260320-0092,2026-03-20 10:56,카카오톡,디자이너B,디자이너,대시보드,v0.8,대시보드 버튼 색이 배경이랑 대비가 약함. #E5E5E5 → #333으로.,하,반영_완료,안용균,2026-03-29
FB-260320-0074,2026-03-20 18:09,회의록,이가영,외부-서가클,온보딩_화면,v0.8,온보딩 화면 툴팁 위치가 잘려서 보여요. 우측으로 이동.,하,보류,이정표,2026-03-27
FB-260320-0027,2026-03-20 20:47,카카오톡,디자이너B,디자이너,모바일_프리뷰,v0.5,모바일 프리뷰 오타 있음: '팔렛트' → '팔레트'.,중,보류,디자이너B,2026-03-27
FB-260320-0064,2026-03-20 21:13,카카오톡,민정원,기획,컬러팔레트_에디터,v0.5,컬러팔레트 에디터 보다가 멈칫함. 직관적이지 않은 느낌.,상,반영_완료,안용균,2026-03-29
