equipment_id,equipment_type,terminal,manufacturer,year_installed,monthly_operating_hours,monthly_moves,mtbf_hours,mttr_hours,maintenance_status,last_pm_date,next_pm_date
STS-01,STS Crane,신선대,Liebherr,2023,542,4792,528,3,정상,2026-01-25,2026-07-02
STS-02,STS Crane,신선대,Liebherr,2023,565,7171,539,2,점검예정,2026-01-16,2026-07-01
STS-03,STS Crane,신선대,Liebherr,2023,471,6448,581,3,정상,2026-03-06,2026-06-27
STS-04,STS Crane,신선대,ZPMC,2008,394,5369,360,11,수리중,2026-02-14,2026-05-10
STS-05,STS Crane,신선대,ZPMC,2018,401,5211,455,7,점검예정,2026-02-05,2026-06-03
STS-06,STS Crane,감만,ZPMC,2007,491,6671,309,11,점검예정,2026-01-03,2026-06-21
STS-07,STS Crane,감만,ZPMC,2024,378,7395,577,4,정상,2025-12-28,2026-07-08
STS-08,STS Crane,감만,ZPMC,2008,551,6343,336,8,점검예정,2026-01-25,2026-06-15
ARMGC-01,ARMGC,신선대,Konecranes,2017,446,5494,476,7,정상,2026-02-16,2026-05-29
ARMGC-02,ARMGC,신선대,Konecranes,2009,309,4621,354,10,점검예정,2026-01-27,2026-05-24
ARMGC-03,ARMGC,신선대,ZPMC,2020,529,4525,538,5,정상,2026-01-31,2026-06-02
ARMGC-04,ARMGC,신선대,Konecranes,2020,548,6559,534,3,정상,2026-01-31,2026-06-19
ARMGC-05,ARMGC,신선대,Konecranes,2013,454,5644,421,9,정상,2026-01-13,2026-05-21
ARMGC-06,ARMGC,신선대,Konecranes,2020,510,3230,528,5,정상,2026-02-18,2026-05-02
ARMGC-07,ARMGC,신선대,Konecranes,2021,499,6486,520,4,정상,2025-12-28,2026-04-27
ARMGC-08,ARMGC,신선대,ZPMC,2011,514,3236,401,8,정상,2026-01-11,2026-04-30
ARMGC-09,ARMGC,신선대,Konecranes,2011,510,4901,362,9,정상,2025-12-19,2026-05-09
ARMGC-10,ARMGC,신선대,ZPMC,2012,452,4827,383,9,정상,2026-01-09,2026-07-08
ARMGC-11,ARMGC,신선대,Konecranes,2016,491,6403,430,7,정상,2026-02-02,2026-04-27
ARMGC-12,ARMGC,신선대,Konecranes,2006,519,3906,280,10,정상,2025-12-14,2026-05-20
ARMGC-13,ARMGC,신선대,Konecranes,2018,521,6196,482,4,수리중,2025-12-13,2026-04-25
ARMGC-14,ARMGC,감만,Konecranes,2009,453,6280,356,8,정상,2026-02-06,2026-06-02
ARMGC-15,ARMGC,감만,Konecranes,2018,518,4428,507,7,정상,2026-02-11,2026-06-22
ARMGC-16,ARMGC,감만,Konecranes,2021,449,3419,547,6,정상,2025-12-16,2026-06-10
ARMGC-17,ARMGC,감만,Konecranes,2014,423,3261,433,5,정상,2026-02-03,2026-06-04
ARMGC-18,ARMGC,감만,Konecranes,2013,348,3614,416,8,정상,2026-02-08,2026-05-01
ARMGC-19,ARMGC,감만,Konecranes,2015,484,3104,448,6,정상,2026-02-01,2026-05-27
ARMGC-20,ARMGC,감만,Konecranes,2017,449,5900,459,4,수리중,2026-02-14,2026-06-06
YT-01,Yard Tractor,신선대,Kalmar,2022,432,4751,550,5,정상,2026-01-31,2026-05-15
YT-02,Yard Tractor,신선대,Kalmar,2014,232,3059,396,8,정상,2025-12-29,2026-05-17
YT-03,Yard Tractor,신선대,Konecranes,2007,257,3257,299,10,정상,2026-01-27,2026-06-10
YT-04,Yard Tractor,신선대,Konecranes,2023,417,2482,543,5,정상,2025-12-19,2026-07-07
YT-05,Yard Tractor,신선대,Kalmar,2020,328,2490,536,4,점검예정,2026-01-21,2026-06-30
YT-06,Yard Tractor,신선대,Konecranes,2018,235,2820,453,5,정상,2025-12-28,2026-06-21
YT-07,Yard Tractor,신선대,Kalmar,2015,399,2331,460,6,정상,2025-12-20,2026-05-16
YT-08,Yard Tractor,신선대,Konecranes,2006,270,2857,270,12,정상,2026-02-17,2026-07-06
YT-09,Yard Tractor,감만,Kalmar,2020,233,4516,530,3,정상,2026-01-15,2026-06-14
YT-10,Yard Tractor,감만,Konecranes,2020,209,4186,504,3,정상,2026-01-22,2026-04-25
YT-11,Yard Tractor,감만,Konecranes,2021,373,2016,507,3,정상,2026-02-07,2026-05-22
YT-12,Yard Tractor,감만,Konecranes,2014,298,4061,398,5,정상,2026-02-17,2026-05-02
RS-01,Reach Stacker,신선대,Kalmar,2014,266,1865,450,7,정상,2026-01-26,2026-06-18
RS-02,Reach Stacker,신선대,Kalmar,2015,241,1185,462,8,정상,2026-01-18,2026-04-26
RS-03,Reach Stacker,신선대,Kalmar,2012,204,844,406,7,정상,2026-02-17,2026-05-09
RS-04,Reach Stacker,감만,Liebherr,2006,286,899,294,11,정상,2026-03-04,2026-05-07
RS-05,Reach Stacker,감만,Kalmar,2006,256,1709,314,9,정상,2025-12-30,2026-05-26
