게시일,계정,콘텐츠유형,주제,주제분류,상품태그,좋아요,댓글,저장,공유,도달,프로필방문,웹사이트클릭,해시태그수
2026-03-01,@liber_seoul,릴스,직원 추천 향수,브랜딩,섬유향수 듀오 세트,1588,115,139,67,15058,304,34,12
2026-03-02,@liber_seoul,피드,도시 여행 감성컷,브랜딩,스노우 사이,227,11,42,3,2027,20,5,11
2026-03-02,@liber_seoul,스토리,고객 리뷰 리그램,UGC,없음,0,21,0,44,3164,59,12,23
2026-03-03,@liber_seoul,스토리,일상 속 향기 활용,교육,그린 사운즈,0,106,0,44,6273,177,41,18
2026-03-04,@liber_seoul,스토리,고객 OOTD with 향수,UGC,로즈 제스트,0,99,0,98,7610,212,65,24
2026-03-05,@liber_seoul,피드,향 노트 설명,교육,메이 라일락 디퓨저,487,11,67,7,4973,99,23,10
2026-03-05,@liber_seoul,캐러셀,봄 신제품 티저,제품,룸스프레이&디퓨저 세트,439,31,98,9,8506,313,109,20
2026-03-06,@liber_seoul,캐러셀,향 노트 설명,교육,없음,1150,112,223,19,7713,189,27,25
2026-03-06,@liber_seoul,피드,섬유향수 활용법,교육,사이 섬유향수,109,3,12,1,2166,39,8,21
2026-03-07,@liber_seoul,캐러셀,고객 OOTD with 향수,UGC,그린 사운즈,858,51,111,22,14584,177,48,20
2026-03-08,@liber_seoul,피드,북촌 매장 오픈 후기,브랜딩,사이 섬유향수,748,25,117,21,11201,409,83,12
2026-03-09,@liber_seoul,릴스,고객 리뷰 리그램,UGC,메이 라일락 디퓨저,1153,49,119,65,11745,389,67,20
2026-03-09,@liber_seoul,피드,향기로 기억하는 도시,브랜딩,그린 사운즈,519,13,78,9,10472,337,72,8
2026-03-10,@liber_seoul,스토리,섬유향수 활용법,교육,섬유향수 듀오 세트,0,93,0,29,5514,141,44,24
2026-03-10,@liber_seoul,피드,패키지 언박싱,UGC,타이니데스크 콜라보,310,10,75,5,3716,67,15,14
2026-03-11,@liber_seoul,릴스,향 노트 설명,교육,타이니데스크 콜라보,1539,77,193,85,13266,139,23,15
2026-03-11,@liber_seoul,릴스,패키지 언박싱,UGC,클라우드 사이,2425,67,438,139,30357,426,138,23
2026-03-11,@liber_seoul,캐러셀,신제품 소개,제품,섬유향수 듀오 세트,1958,137,338,42,14694,245,55,12
2026-03-12,@liber_seoul,릴스,북촌 매장 오픈 후기,브랜딩,그린 사운즈,1476,61,141,86,16016,571,102,14
2026-03-12,@liber_seoul,캐러셀,패키지 언박싱,UGC,크리미 우드 섬유향수,812,34,260,9,6153,138,31,13
2026-03-13,@liber_seoul,피드,고객 리뷰 리그램,UGC,티 슬로우,340,10,78,5,6848,262,29,20
2026-03-13,@liber_seoul,릴스,섬유향수 활용법,교육,룸스프레이&디퓨저 세트,1517,70,203,64,29279,594,200,22
2026-03-13,@liber_seoul,피드,타이니데스크 콜라보,콜라보,그린 사운즈,152,3,24,3,2799,68,7,25
2026-03-14,@liber_seoul,스토리,도시 여행 감성컷,브랜딩,룸스프레이&디퓨저 세트,0,27,0,31,2263,82,24,17
2026-03-15,@liber_seoul,스토리,신제품 소개,제품,그린 사운즈,0,86,0,94,7978,94,15,13
2026-03-15,@liber_seoul,스토리,화이트데이 기획전,프로모션,로즈 제스트,0,33,0,23,2355,52,6,24
2026-03-16,@liber_seoul,캐러셀,고객 OOTD with 향수,UGC,메이 라일락 디퓨저,496,44,109,9,6179,78,16,25
2026-03-17,@liber_seoul,스토리,고객 OOTD with 향수,UGC,티 슬로우,0,37,0,22,2555,86,18,9
2026-03-17,@liber_seoul,피드,직원 추천 향수,브랜딩,타이니데스크 콜라보,410,10,78,12,7840,307,49,14
2026-03-18,@liber_seoul,스토리,신제품 소개,제품,로즈 제스트,0,72,0,39,7375,278,44,21
2026-03-19,@liber_seoul,스토리,일상 속 향기 활용,교육,클라우드 사이,0,64,0,57,4314,70,7,19
2026-03-19,@liber_seoul,캐러셀,섬유향수 활용법,교육,포레스트 던 디퓨저,706,53,116,18,9787,212,73,23
2026-03-20,@liber_seoul,릴스,북촌 매장 오픈 후기,브랜딩,캠퍼스 피크닉,620,29,84,26,15001,157,36,17
2026-03-20,@liber_seoul,피드,봄 신제품 티저,제품,티 슬로우,134,7,22,2,2773,54,6,14
2026-03-20,@liber_seoul,스토리,시즌 추천 향수,프로모션,로즈 제스트,0,55,0,19,3033,162,30,10
2026-03-21,@liber_seoul,릴스,도시 여행 감성컷,브랜딩,핸드크림 세트,4137,246,231,107,36193,862,105,9
2026-03-21,@liber_seoul,피드,선물 추천 가이드,프로모션,메이 라일락 디퓨저,348,12,55,4,5918,90,20,20
2026-03-22,@liber_seoul,릴스,향 노트 설명,교육,사이 섬유향수,1577,119,124,39,44055,1488,440,25
2026-03-22,@liber_seoul,릴스,직원 추천 향수,브랜딩,타이니데스크 콜라보,2033,56,186,43,32100,599,106,8
2026-03-23,@liber_seoul,피드,신제품 소개,제품,없음,316,15,48,5,6819,89,22,25
2026-03-23,@liber_seoul,릴스,고객 리뷰 리그램,UGC,포레스트 던 디퓨저,2038,93,258,94,21457,570,134,20
2026-03-23,@liber_seoul,릴스,신제품 소개,제품,크리미 우드 섬유향수,1861,78,111,111,18574,522,87,10
2026-03-24,@liber_seoul,스토리,화이트데이 기획전,프로모션,스노우 사이,0,45,0,45,4064,154,48,11
2026-03-24,@liber_seoul,캐러셀,북촌 매장 브이로그,브랜딩,티 슬로우,661,56,152,26,8403,161,54,8
2026-03-25,@liber_seoul,릴스,북촌 매장 브이로그,브랜딩,티 슬로우,3887,268,538,133,36897,1115,340,12
2026-03-26,@liber_seoul,피드,도시 여행 감성컷,브랜딩,티 슬로우,216,5,39,2,2070,37,5,20
2026-03-26,@liber_seoul,스토리,고객 리뷰 리그램,UGC,메이 라일락 디퓨저,0,14,0,23,2195,39,4,25
2026-03-27,@liber_seoul,스토리,일상 속 향기 활용,교육,룸스프레이&디퓨저 세트,0,108,0,54,6484,69,9,17
2026-03-27,@liber_seoul,스토리,선물 추천 가이드,프로모션,로즈 제스트,0,46,0,34,3736,201,80,12
2026-03-28,@liber_seoul,릴스,도시 여행 감성컷,브랜딩,티 슬로우,852,66,76,41,12111,434,120,19
2026-03-29,@liber_seoul,스토리,선물 추천 가이드,프로모션,클라우드 사이,0,31,0,57,5598,162,22,9
2026-03-30,@liber_seoul,캐러셀,북촌 매장 브이로그,브랜딩,캠퍼스 피크닉,512,43,119,14,3831,76,11,20
2026-03-31,@liber_seoul,캐러셀,북촌 매장 브이로그,브랜딩,클라우드 사이,265,20,52,8,3712,110,19,24
2026-03-31,@liber_seoul,피드,타이니데스크 콜라보,콜라보,섬유향수 듀오 세트,939,38,170,26,8733,111,34,8
2026-03-31,@liber_seoul,스토리,조향 과정 비하인드,브랜딩,타이니데스크 콜라보,0,131,0,75,6889,162,42,25
