프로젝트ID,프로젝트명,유형,클라이언트,클라이언트유형,위치,면적_m2,시작일,완료일,계약금액,원가,식재종수,주요식물,시즌,만족도,재계약,유입경로
PRJ-2023-001,삼성동 기업 가드닝워크숍,B2B워크숍,현대카드,기업,강남구 삼성동,44,2023-05-14,2023-05-15,3000000,1700000,6,"진달래, 무궁화, 수국, 목련",봄,4.5,Y,인스타그램
PRJ-2023-002,북촌로 쇼룸 팝업가든,팝업정원,CJ제일제당,기업,종로구 북촌로,67,2023-05-15,2023-05-23,17000000,9600000,5,"코스모스, 진달래, 목련, 튤립",봄,4.8,Y,인스타그램
PRJ-2023-003,불광동 카페 식물관리,유지관리,올리브영,기업,은평구 불광동,148,2023-05-08,2023-05-09,5000000,3100000,8,"수선화, 벚나무, 라벤더, 목련",봄,4.3,Y,검색
PRJ-2023-004,방배동 쇼룸 체험가든,팝업정원,개인 D,개인,서초구 방배동,47,2023-05-13,2023-05-29,12000000,9000000,13,"철쭉, 로즈마리, 라벤더, 억새",봄,4.6,Y,인스타그램
PRJ-2023-005,홍대입구 오피스 가드닝워크숍,B2B워크숍,SM엔터,기업,마포구 홍대입구,39,2023-08-10,2023-08-13,7000000,4700000,7,"세이지, 눈향나무, 수국, 해바라기",여름,4.0,N,소개
PRJ-2023-006,청담동 게스트하우스 실내정원,조경설계,개인 A,개인,강남구 청담동,94,2023-03-09,2023-05-01,48000000,30500000,13,"회양목, 벚나무, 국화, 서양톱풀",봄,3.6,Y,검색
PRJ-2023-007,홍대입구 부티크호텔 옥상정원,조경설계,현대카드,기업,마포구 홍대입구,161,2023-05-05,2023-06-30,46000000,29600000,11,"라벤더, 루드베키아, 수선화, 튤립",봄,4.0,N,소개
PRJ-2023-008,방배동 카페 앞마당정원,조경설계,카카오,기업,서초구 방배동,164,2023-12-01,2023-12-26,25000000,14600000,5,"자작나무, 남천, 회양목, 산철쭉",겨울,4.6,N,소개
PRJ-2023-009,송정동 스타트업 가드닝워크숍,B2B워크숍,개인 D,개인,성동구 송정동,62,2023-05-11,2023-05-12,3000000,2000000,3,"로즈마리, 튤립, 패랭이꽃",봄,4.8,N,인스타그램
PRJ-2023-010,사당동 공유 옥상텃밭,공유정원,개인 D,개인,동작구 사당동,145,2023-03-11,2023-04-25,13000000,8200000,12,"비비추, 수국, 튤립, 타임",봄,4.1,N,인스타그램
PRJ-2023-011,성수동 IT기업 가드닝워크숍,B2B워크숍,개인 D,개인,성동구 성수동,39,2023-12-09,2023-12-10,3000000,2100000,4,"세이지, 서양톱풀, 자작나무, 코스모스",겨울,4.4,Y,검색
PRJ-2023-012,청담동 오피스 테라리움워크숍,B2B워크숍,서울시청,공공,강남구 청담동,74,2023-05-14,2023-05-17,3000000,1700000,4,"라벤더, 철쭉, 수선화, 목련",봄,4.4,N,인스타그램
PRJ-2023-013,북촌로 한옥 실내정원,조경설계,LG생활건강,기업,종로구 북촌로,85,2023-11-05,2023-12-10,20000000,14900000,9,"국화, 구절초, 맥문동, 억새",가을,4.3,Y,검색
PRJ-2023-014,홍대입구 한옥 앞마당정원,조경설계,토스,기업,마포구 홍대입구,106,2023-05-11,2023-06-01,17000000,12300000,11,"벚나무, 구절초, 해바라기, 라벤더",봄,4.4,N,텀블벅
