project_id,project_name,client,region,current_stage,budget_krw,area_m2,start_date,delivery_date,days_to_delivery,pm,field_lead,status_notes
SGC-2601-001,한남동_고급주택_정원_리뉴얼,개인(한남동_P씨),용산구,시공,92000000,180,2026-01-15,2026-04-22,6,오은,정효원,"시공 마무리 단계, 4/20 최종 검사"
SGC-2602-002,반포자이_테라스_조경,개인(반포자이_K씨),서초구,실시설계,68000000,85,2026-02-10,2026-05-10,24,오은,정효원,"수량표 재확정 중, 견적 조정 필요"
SGC-2603-003,잠실_롯데호텔_로비_벽면녹화,롯데호텔,송파구,기본기획,145000000,220,2026-03-02,2026-06-15,60,오은,한지유,컨셉 2안 중 선택 대기
SGC-2604-004,성수동_카페_옥상정원,스페셜티커피_M사,성동구,계약,54000000,110,2026-03-15,2026-05-25,39,오은,정효원,"계약금 입금 완료, 실시설계 착수"
SGC-2604-005,양재동_R&D센터_로비_식재,LG전자,서초구,기본기획,110000000,160,2026-03-22,2026-06-05,50,오은,한지유,"1차 제안서 전달, 피드백 대기"
SGC-2604-006,도곡동_주상복합_공용정원,개인조합,강남구,현장_미팅,78000000,140,2026-03-28,2026-06-20,65,이가영,정효원,현장 실측 4/18 예정
SGC-2604-007,마포_공유오피스_실내_식재,패스트파이브,마포구,계약,28000000,45,2026-04-01,2026-04-30,14,오은,장재훈,"소규모 빠른 납기, 초화류 중심"
SGC-2604-008,홍대_플래그십스토어_윈도우,네파,마포구,현장_미팅,22000000,28,2026-04-05,2026-04-26,10,오은,정효원,"팝업 2주 후 철거, 일회성"
SGC-2604-009,판교_테크노밸리_벤처기업_입구,토스,성남시,기본기획,64000000,95,2026-04-08,2026-06-01,46,이가영,한지유,컨셉 '절제된 야생' 방향 협의 중
SGC-2604-010,강남역_플라워샵_외부_식재,플로레스코,강남구,수정_반영,18000000,25,2026-04-10,2026-04-24,8,오은,장재훈,"소형, 식물 발주 대기"
